,A,B,C,D,E,F
0,3.0,-0.0,-2.0,2.4145740147168704,0.445162138746714,0.0
1,3.0,-0.0,-2.0,2.640467618388146,0.24215559701684639,0.0
2,1.0,-0.0,-2.0,2.5898425883297893,-0.14694735798910813,0.0
3,3.0,-0.0,-2.0,2.040241884427949,0.2639278320620352,0.0
4,1.0,-0.0,-2.0,1.9244416296931228,-0.39544080913326246,0.0
5,3.0,-0.0,-2.0,0.9968610395288509,0.11776547342536083,0.0
6,1.0,-0.0,-2.0,2.299007800242583,0.21498033238614123,0.0
7,1.0,-0.0,-2.0,-1.1719351677602747,-0.05346231942314754,0.0
8,3.0,-0.0,-2.0,-1.3879615264277634,0.27741673175289855,0.0
9,1.0,-0.0,-2.0,-0.3124324499025162,-0.11072211522647833,0.0
10,3.0,-0.0,-2.0,1.8637636808420348,-0.37251300959925837,0.0
11,3.0,-0.0,-2.0,1.7062432088083042,-0.19166624294783555,0.0
12,3.0,-0.0,-2.0,2.3087604262945036,-0.3704589223513199,0.0
13,3.0,-0.0,-2.0,0.9874763125226341,0.02460131587189861,0.0
14,3.0,-0.0,-2.0,-0.7504631682462142,0.20102426702230844,0.0
15,3.0,-0.0,-2.0,2.718926260861146,-0.20103592433146306,0.0
16,1.0,-0.0,-2.0,2.153572004426027,-0.22284886526096764,0.0
17,1.0,-0.0,-2.0,2.327379036722363,0.023016000990906865,0.0
18,1.0,-0.0,-2.0,1.5965213716943447,0.5171240752114032,0.0
19,1.0,-0.0,-2.0,2.4364844913567354,-0.06007802645523523,0.0
20,1.0,-0.0,-2.0,-1.2969422527793741,-0.08661894264404059,0.0
21,3.0,-0.0,-2.0,0.6143071098311494,-0.09261028199408178,0.0
22,3.0,-0.0,-2.0,1.369756586103266,0.5441274028442926,0.0
23,1.0,-0.0,-2.0,2.2264597861720214,-0.13214565582365226,0.0
24,1.0,-0.0,-2.0,1.11333438217757,-0.17254449350205972,0.0
25,1.0,-0.0,-2.0,2.461578051448147,0.07119738725247211,0.0
26,1.0,-0.0,-2.0,-0.08964703831165888,-0.10054551859531936,0.0
27,1.0,-0.0,-2.0,-0.4190389759085339,0.2926244806753003,0.0
28,3.0,-0.0,-2.0,1.8923797176404644,0.2326965928356456,0.0
29,1.0,-0.0,-2.0,2.3695075676336517,0.0377150896752239,0.0
30,3.0,-0.0,-2.0,0.8788218921815674,-0.3308994320174019,0.0
31,1.0,-0.0,-2.0,0.6278757605275915,-0.6377776176151624,0.0
32,1.0,-0.0,-2.0,2.0770706077019687,-0.2572633723592824,0.0
33,1.0,-0.0,-2.0,1.302431360558712,0.2880982841882706,0.0
34,3.0,-0.0,-2.0,-1.3179469082202213,-0.8361057062912544,0.0
35,3.0,-0.0,-2.0,2.544882845558952,0.5184440339429199,0.0
36,1.0,-0.0,-2.0,2.572599447472413,0.08343221240910877,0.0
37,3.0,-0.0,-2.0,2.3488327367251522,0.43492398056875314,0.0
38,3.0,-0.0,-2.0,1.6042096954913472,0.015551109500307992,0.0
39,3.0,-0.0,-2.0,0.6368967534445237,-0.4621434987461836,0.0
40,3.0,-0.0,-2.0,0.8454860030141349,-0.11972736591252305,0.0
41,3.0,-0.0,-2.0,2.750749717487935,-0.04683889425333308,0.0
42,1.0,-0.0,-2.0,2.2431649796568642,0.10684249094061807,0.0
43,3.0,-0.0,-2.0,2.139898895836148,0.2108023288774342,0.0
44,1.0,-0.0,-2.0,-0.7280118938582862,-0.27892436629691136,0.0
45,1.0,-0.0,-2.0,-0.572871568479878,-0.3885813521382508,0.0
46,1.0,-0.0,-2.0,1.4482174340356209,-0.41455369813637644,0.0
47,3.0,-0.0,-2.0,-0.5531623033143581,0.5483660837688547,0.0
48,3.0,-0.0,-2.0,1.0238217017255173,0.3690809875988881,0.0
49,3.0,-0.0,-2.0,0.7323084248943975,-0.2877127353393014,0.0
